項目,單位,電話,地址縣市,地址鄉鎮市區,地址
大專院校及高中職專區,國立彰化師範大學,04-7232105,10007,10007010,彰化縣彰化市彰化縣彰化市進德路1號
大專院校及高中職專區,大葉大學,04-8511888,10007,10007130,彰化縣大村鄉學府路168號
大專院校及高中職專區,明道學校財團法人明道大學,04-8876660,10007,10007220,彰化縣埤頭鄉文化路369號
大專院校及高中職專區,建國科技大學,04-7111111,10007,10007010,彰化縣彰化市介壽北路1號
大專院校及高中職專區,中州學校財團法人中州科技大學,04-8359000,10007,10007100,彰化縣員林市山腳路三段2巷6號
大專院校及高中職專區,國立彰化女子高級中學,04-7240042,10007,10007010,彰化縣彰化市光復路62號
大專院校及高中職專區,國立彰化高級中學,04-7222121,10007,10007010,彰化縣彰化市中興路78號
大專院校及高中職專區,國立員林高級中學,04-8320364,10007,10007100,彰化縣員林市靜修路79號
大專院校及高中職專區,國立鹿港高級中學,04-7772403,10007,10007020,彰化縣鹿港鎮東石里中山路661號
大專院校及高中職專區,國立溪湖高級中學,04-8829866,10007,10007110,彰化縣溪湖鎮大溪路二段86號
大專院校及高中職專區,彰化縣立二林高級中學,04-8960121,10007,10007200,彰化縣二林鎮中西里二城路6號
大專院校及高中職專區,彰化縣立彰化藝術高級中學,04-7222844,10007,10007010,彰化縣彰化市卦山路13號
大專院校及高中職專區,彰化縣立成功高級中學,04-8828588,10007,10007110,彰化縣溪湖鎮福德路310號
大專院校及高中職專區,彰化縣立田中高級中學,04-8745820,10007,10007120,彰化縣田中鎮文化街23號
大專院校及高中職專區,彰化縣立和美高級中學,04-7552043,10007,10007030,彰化縣和美鎮西園路三十一號??
大專院校及高中職專區,國立彰化師範大學附屬高級工業職業學校,04-7252541,10007,10007010,彰化縣彰化市和調里工校街1號
大專院校及高中職專區,國立彰化高級商業職業學校,04-7262623,10007,10007010,彰化縣彰化市南郭路一段326號
大專院校及高中職專區,國立永靖高級工業職業學校,04-8221810,10007,10007160,彰化縣永靖鄉永坡路101號
大專院校及高中職專區,國立秀水高級工業職業學校,04-7697021,10007,10007070,彰化縣秀水鄉中山路364號
大專院校及高中職專區,國立員林崇實高級工業職業學校,04-8347106#7,10007,10007100,彰化縣員林市育英路103號
大專院校及高中職專區,國立二林高級工商職業學校,04-8962132,10007,10007200,彰化縣二林鎮豐田里斗苑路四段500號
大專院校及高中職專區,國立員林高級農工職業學校,04-8360105,10007,10007100,彰化縣員林市員水路二段313號
大專院校及高中職專區,國立員林高級家事商業職業學校,04-8320260,10007,10007100,彰化縣員林市中正路56號
大專院校及高中職專區,國立北斗高級家事商業職業學校,04-8882224,10007,10007190,彰化縣北斗鎮大道里學府路50號
大專院校及高中職專區,彰化縣私立大慶高級商工職業學校,04-8311005,10007,10007100,彰化縣員林市山腳路二段206號
大專院校及高中職專區,彰化縣私立達德高級商工職業學校,04-8753929,10007,10007120,彰化縣田中鎮中南路二段277號
大專院校及高中職專區,彰化縣私立精誠高級中學,04-7622790,10007,10007010,彰化縣彰化市林森路200號
大專院校及高中職專區,彰化縣私立文興高級中學,04-8753889,10007,10007120,彰化縣田中鎮員集路三段93號
大專院校及高中職專區,正德學校彰化縣正德高級中學,04-7524109,10007,10007010,彰化縣彰化市彰水路145號
大專院校及高中職專區,國立和美實驗學校,04-7552009,10007,10007030,彰化縣和美鎮鹿和路六段115號
大專院校及高中職專區,國立彰化啟智學校,04-8727303,10007,10007170,彰化縣社頭鄉中山路一段306號
