年,國家公園名稱,面積,生態保護區面積,特別景觀區面積,史蹟保存區面積,遊憩區面積,一般管制區面積,公布實施日期,設置管理單位日期,行政區域
2020,墾丁國家公園陸域,1767898,5507.02,1643.77,12.36,384.78,10131.05,71年9月,73年1月,屏東縣（恆春鎮、車城鄉、滿州鄉）
2020,墾丁國家公園海域,14891.16,714.97,270.12,,309.68,13596.39,71年9月,73年1月,屏東縣（恆春鎮、車城鄉、滿州鄉）
2020,玉山國家公園陸域,103121.4,73622.3,3393.1,279.7,240.2,25586.1,74年4月,74年4月,南投縣（信義鄉）、嘉義縣（阿里山鄉）、高雄市（桃源區）、花蓮縣（卓溪鄉）
2020,陽明山國家公園陸域,11338,2115,5378,22,270,3553,74年9月,74年9月,臺北市（士林區、北投區）、新北市（三芝區、淡水區、石門區、金山區、萬里區）
2020,太魯閣國家公園陸域,92000,66240,22630,40,300,2790,75年11月,75年11月,花蓮縣（秀林鄉）、臺中市（和平區）、南投縣（仁愛鄉）
2020,雪霸國家公園陸域,76850,51595.58,1855,41.19,82.23,23276,81年7月,81年7月,新竹縣（五峰鄉、尖石鄉）、苗栗縣（泰安鄉）、臺中市（和平區）
2020,金門國家公園陸域,3528.74,,1525.91,0.34,266.86,1735.63,84年10月,84年10月,金門縣（金城鎮、金寧鄉、金湖鎮、金沙鎮、烈嶼鄉）
2020,東沙環礁國家公園陸域,178.57,,132.96,1.57,,44.04,96年1月,96年10月,高雄市(旗津區)
2020,東沙環礁國家公園海域,353489.38,57660.53,295810.27,,,18.58,96年1月,96年10月,高雄市(旗津區)
2020,台江國家公園陸域,5090.21,624.97,1618.02,16.3,4057,279034,98年10月,98年10月,台南市、澎湖縣
2020,台江國家公園海域,35641.1,,,,,35641.1,98年10月,98年10月,台南市、澎湖縣
2020,澎湖南方四島國家公園陸域,370.29,,317.51,,,52.78,103年6月,103年10月,澎湖縣
2020,澎湖南方四島國家公園海域,35473.33,70.94,16600.03,,25.61,18776.74,103年6月,103年10月,澎湖縣
